DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,2,species,ostric2,Common Ostrich,Struthio camelus
,7,species,ostric3,Somali Ostrich,Struthio molybdophanes
,8,slash,y00934,Common/Somali Ostrich,Struthio camelus/molybdophanes
,10,species,grerhe1,Greater Rhea,Rhea americana
,16,species,lesrhe2,Lesser Rhea,Rhea pennata
,17,issf,lesrhe4,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
,20,issf,lesrhe3,Lesser Rhea (Darwin's),Rhea pennata pennata
,22,species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius
,23,species,higtin1,Highland Tinamou,Nothocercus bonapartei
,24,issf,higtin2,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
,29,issf,higtin3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
,30,species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus
,33,species,grytin1,Gray Tinamou,Tinamus tao
,38,species,soltin1,Solitary Tinamou,Tinamus solitarius
,39,species,blatin1,Black Tinamou,Tinamus osgoodi
,42,species,gretin1,Great Tinamou,Tinamus major
,55,species,whttin1,White-throated Tinamou,Tinamus guttatus
,56,spuh,tinamu1,Tinamus sp.,Tinamus sp.
,57,species,cintin1,Cinereous Tinamou,Crypturellus cinereus
,58,species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi
,59,species,littin1,Little Tinamou,Crypturellus soui
,74,species,teptin1,Tepui Tinamou,Crypturellus ptaritepui
,75,species,brotin1,Brown Tinamou,Crypturellus obsoletus
,76,issf,brntin1,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
,77,issf,brntin2,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
,86,species,undtin1,Undulated Tinamou,Crypturellus undulatus
,93,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus
,94,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus
,95,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae
,96,species,reltin1,Red-legged Tinamou,Crypturellus erythropus
,104,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus
,105,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
,106,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
,107,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus
,110,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi
,113,species,chotin1,Choco Tinamou,Crypturellus kerriae
,114,species,vartin1,Variegated Tinamou,Crypturellus variegatus
,115,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus
,116,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
,117,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
,126,species,rustin1,Rusty Tinamou,Crypturellus brevirostris
,127,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti
,128,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris
,129,species,bartin1,Barred Tinamou,Crypturellus casiquiare
,130,species,tattin1,Tataupa Tinamou,Crypturellus tataupa
,135,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.
,136,species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens
,140,species,huatin1,Huayco Tinamou,Rhynchotus maculicollis
,141,species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii
,142,species,orntin1,Ornate Tinamou,Nothoprocta ornata
,146,species,chitin1,Chilean Tinamou,Nothoprocta perdicaria
,149,species,brutin1,Brushland Tinamou,Nothoprocta cinerascens
,152,species,andtin1,Andean Tinamou,Nothoprocta pentlandii
,161,species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris
,164,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.
,165,species,whbnot1,White-bellied Nothura,Nothura boraquira
,166,species,lesnot1,Lesser Nothura,Nothura minor
,167,species,darnot1,Darwin's Nothura,Nothura darwinii
,173,species,sponot1,Spotted Nothura,Nothura maculosa
,183,species,dwatin1,Dwarf Tinamou,Taoniscus nanus
,184,species,elctin1,Elegant Crested-Tinamou,Eudromia elegans
,195,species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa
,198,species,puntin1,Puna Tinamou,Tinamotis pentlandii
,199,species,pattin1,Patagonian Tinamou,Tinamotis ingoufi
,200,spuh,tinamo1,tinamou sp.,Tinamidae sp.
,202,species,soucas1,Southern Cassowary,Casuarius casuarius
,203,species,dwacas1,Dwarf Cassowary,Casuarius bennetti
,204,species,norcas1,Northern Cassowary,Casuarius unappendiculatus
,205,species,emu1,Emu,Dromaius novaehollandiae
,211,species,sobkiw1,Southern Brown Kiwi,Apteryx australis
,212,issf,sobkiw2,Southern Brown Kiwi (South I.),Apteryx australis australis
,213,issf,sobkiw3,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi
,214,species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi
,215,species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli
,216,species,liskiw1,Little Spotted Kiwi,Apteryx owenii
,217,species,grskiw1,Great Spotted Kiwi,Apteryx haastii
,218,spuh,kiwi1,kiwi sp.,Apteryx sp.
,220,species,horscr1,Horned Screamer,Anhima cornuta
,221,species,souscr1,Southern Screamer,Chauna torquata
,222,species,norscr1,Northern Screamer,Chauna chavaria
,224,species,maggoo1,Magpie Goose,Anseranas semipalmata
,226,species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata
,227,species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni
,228,species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata
,229,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata
,230,species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis
,231,issf,bkbwhd1,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens
,232,issf,bkbwhd2,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis
,233,species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea
,234,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea
,235,species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor
,236,hybrid,x00938,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor
,237,hybrid,x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor
,238,species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata
,242,hybrid,x00990,Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata
,243,species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica
,244,slash,y01080,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
,245,hybrid,x00360,Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica
,246,spuh,whistl1,whistling-duck sp.,Dendrocygna sp.
,247,species,whbduc1,White-backed Duck,Thalassornis leuconotus
,250,species,bahgoo,Bar-headed Goose,Anser indicus
,251,species,empgoo,Emperor Goose,Anser canagicus
,252,species,snogoo,Snow Goose,Anser caerulescens
,255,hybrid,x00991,Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens
,256,species,rosgoo,Ross's Goose,Anser rossii
,257,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii
,258,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii
,259,species,gragoo,Graylag Goose,Anser anser
,260,issf,gragoo2,Graylag Goose (European),Anser anser anser
,261,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris
,262,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type)
,263,hybrid,x00992,Bar-headed x Graylag Goose (hybrid),Anser indicus x anser
,264,species,swagoo1,Swan Goose,Anser cygnoides
,265,domestic,swagoo2,Swan Goose (Domestic type),Anser cygnoides (Domestic type)
,266,hybrid,x00776,Graylag x Swan Goose (hybrid),Anser anser x cygnoides
,267,species,gwfgoo,Greater White-fronted Goose,Anser albifrons
,268,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris
,269,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons
,270,issf,gwfgoo2,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa
,273,issf,gwfgoo3,Greater White-fronted Goose (Tule),Anser albifrons elgasi
,274,hybrid,x00755,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons
,275,hybrid,x00361,Emperor x Greater White-fronted Goose (hybrid),Anser canagicus x albifrons
,276,hybrid,x00627,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons
,277,hybrid,x00362,Ross's x Greater White-fronted Goose (hybrid),Anser rossii x albifrons
,278,species,lwfgoo,Lesser White-fronted Goose,Anser erythropus
,279,slash,y00707,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
,280,species,taibeg1,Taiga Bean-Goose,Anser fabalis
,284,species,tunbeg1,Tundra Bean-Goose,Anser serrirostris
,287,slash,y00468,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
,288,species,pifgoo,Pink-footed Goose,Anser brachyrhynchus
,289,domestic,domgoo1,Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
,290,spuh,anser1,Anser sp.,Anser sp.
,291,species,brant,Brant,Branta bernicla
